	1416
8906220	1
598291	3
4544234	1
3747946	672
4892573	72
4617654	70
4206052	2
9786580	3
6554107	30
3674408	6
6627533	56
917000	20
5196829	1
4617648	21
7548959	4
2179078	74
7882753	1
4519288	10
858102	21
6554113	12
8788424	4
9017060	1
7965522	2
4206069	3
9786597	2
9821388	1
9532201	14
5196835	32
4519294	3
9688096	3
7750069	121
3674420	17
3409741	92
4162768	18
4544257	1
8788418	1
4892596	14
9390445	6
7750075	111
7882776	2
858125	13
2179090	458
5495360	2
8788401	2
6554136	489
3674414	43
4617662	18
4617663	18
4617660	46
4617661	18
71129	18
3351817	1
6603515	6
858094	14
9884928	2
344053	1
2640459	6
3855819	21
1517171	3
3782233	2641
6554024	24
3733298	43
7892131	3
9556271	4
319090	3
7941622	1
7597886	5
9884934	1
8642057	4
6030663	6
4642706	12
7902007	7
71135	31
7847426	2
7916676	19
9556265	30
633107	6
7583246	1
4798472	1
9595868	1
3302888	202
7965605	1
8906154	1
9821460	17
4892662	1
7892148	1
9845455	1
6030657	42
6054600	7
319078	15
7583252	1
4853024	5
6029648	51
8715431	1
4328594	1
3601510	1326
2194669	226
9007699	3
3566512	1397
4892679	10
3879808	2408
1865452	1
3351800	26091
6030628	8
6857859	2
917052	19
917069	6
2639491	1
71158	1
6030640	2
7103884	1
95101	25
5691428	5
9556288	14
1037241	4
3542552	12
4353528	1
9595845	2
633136	105
9629610	1
8906131	2
2615349	1
3566506	380
2179055	1
9884963	2
104248	1
3782204	90
6030634	8
789909	1
319055	4
3855854	209
2179003	12
6030692	21
4593244	1
3468181	2037
858059	9
6808855	2
633142	1
3409801	105
3302859	733
46120	4
9821431	3
917075	70
46114	19
8666000	4
3855848	632
4798437	1
95124	4
9532276	3
4593238	1
71170	8
657102	85
633159	2
3302842	441
9007660	1
5196798	1
9884986	30
6495296	1
917098	31
3855831	331
9556259	116
3493121	49
9615039	10
46108	1
2179026	89
4593221	7
3542581	81
942050	3
574385	1
7548882	1
95153	7
4510790	2
6255592	2
9595816	2
858071	7
9821454	30
4617708	7
3468198	12
6030686	93
3855825	221
8945740	1
4593215	28
657119	1
4510784	3
9821448	14
4593209	39
7892160	15
6255586	3
9007647	2
8931100	3
657125	94
6554099	32
9629656	1
4509798	1
633171	1
3924087	327
4510778	2
9640014	4
3698490	209
7245176	219
2131025	66
942073	1
8980127	1
2507507	5
4867612	1
3302813	4
9654660	1
4750459	1
9953196	3
3468146	2253
7666222	37
6422305	552
9615051	2
9007630	2
6520775	2
2131019	3
9615045	620
9640020	4
3517525	79
4510761	3
1483101	2608
2629920	26
4750442	1
7666216	86
3076417	586
9639034	2
3855883	5123
4245595	6
9639005	1
4593267	3
4510755	3
2131002	5
2458140	7
4750471	1
3517531	88
3924058	4
3698478	9
9007618	2
4270558	1
7666245	30
1889464	1
3483766	22443
4701490	1
4593250	3
4510749	4
9615068	5
2507513	1
8607693	1
7103803	1850
6520752	1
3601585	899
4892604	3
9654631	2
7666239	25
9894364	1
2121676	1
9992799	18
3816297	75
3420174	1086
6030611	21
9664026	4
9953150	3
4510732	5
7739607	1
6005659	2
3924035	1278
7715630	4
8412564	1
7402546	2
6030605	19
212245	5
7573874	4
3385360	22
3145673	20
4853018	5
6186394	1
9640066	12
4196170	29
7573880	4
9615080	3
3924029	56
3880817	20
7701007	10
4652099	5
71106	27
6186365	3
9640037	2
3145667	608
2605902	105
2131048	40
4030848	1
3865232	27
3924012	23
7318544	3
7573897	6
