ABIRATERONE	2174974
CALCIUM	3828455;3570896;3515615;3107023;3566067;3500252;3000911;3411560;3107017;3500507;4182185;3247770;3547650;3300004;3016993;3325688;3474514;3696060;3294143;3564602;3724106;2225513;3730288;3410371;3360549;3738835;3765482;3299985;2225536;3694807;3738841;3394146;3722343;3326009;3557080;3302888;3569108;3473377;3750641;3392236;3409586;3387873;3527794;3601243;3442804;3556318;3295450;3615653;3043085;3875153;3813057;3719973;3223172;3642472;3213512;3302902;3213529;3380977;3394011;3564594;3322916;3511445;3979183;3411577;3550712;3566825;3213535;3387726;4160344;3762590;3308690;3362057;3723963;3738829;3737741;3396955;3581405;3611678;3564588;3232320;3679096;3829377;3644092;3312734;3829070;3383088;3720580;3738953;3762874;3486718;3570904;3459348;3777574;3563577;3866059;3777551;3698811;3928122;3866071;3866065;3777491;3563583;3329829;3928091;3698805;3205866;3563560;3246747;3777456;3560343;3928079;3660381;3560260;3777522;3245400;3560337;3571855;3010275;3068033;3571861;3488083;3302859;3488060;3042105;3302842;3814660;3489881;3489906;3489898
CAMPHRE	3308655;3112679;3050984;5000306;3307733;3425243;3307727;3112662
CANDESARTAN CILEXETIL	2201903;4168972;3555721;3456947;3720338;2211592;4159387;3555684;5820311;2172047;4160278;4159105;4158985;4156489;4160226;2211534;2232855;5811223;4961713;4157997;2171912;4157589;4994500;2201688;2211899;3720404;4159430;2171993;2172917;2210523;2172969;4994552;3720278;4159967;4156532;4961759;3715308;4962279;4962090;2232849;2172509;4920909;2171881;4160143;4157081;3457007;4160025;2209112;3720456;2201671;4156733;4157164;3720568;5817504;2210492;2209081;4159157;3714208;4962121;2210463;2172395;2220390;2202038;3720427;3968682;2209000;2201613;4920677;4994380;4156791;3969196;2233228;3715320;2201872;2220622;2201576;2201607;3969500;2231809;2230690;2211770;2209046;4156880;4157218;2172082;3969138;3720195;4159045;3720373;4156934;2201524;2201599;2184004;4169144;3714177;3715277;2220869;3695103;2172478;4157023;4159536;2211824;2210552;2173868;4159306;3968742;4160083;2230603;2220071;2172432;2183996;3714119;2173940;2172136;3969983;3715343;4994411;2171964;3714094;3457266;5823775;2201719;4158637;4920625;4156590;3720290;4165040;4158577;4159252;4962173;2211712;2220349;4156644;2172811;2172840;4920849;2211669;3720315;3969569;3720172;4962210;2220332;4158040;2201725
CAPECITABINE	3657456;3657462
CAPTODIAME	3372251
CAPTOPRIL	3664686;3780783;3268364;3664628;3722840;3467000;3989052;3724359;3790882;3680863;3742400;3836992;3974895;3876098;3619094;3733186;3514923;3631379;3268358;3722857;3679647;3673923;3983546;3480443;3631899;3616109;3576410;3875667;3481402;3485771;3291297;3799630;3673946;3845933;3466992;3514917;3475287;3481454;3603816;3475198;3475169;3616115;3475318;3576373;3291280;3480383;3485788
CARBAMAZEPINE	3103545;3530514;3314874;3443637;3766576;3530632;3298431;3443689;3483737;3295639
CARBOPLATINE	5814144;5814090;5814121
CARBUTAMIDE	3044558;3044541
CARPIPRAMINE	3204370
CARTEOLOL	3600901;3600663;3523164;3438079;3523158;3578892;3578952;3438091;3287427
CARVEDILOL	3880131;3423445;4152959;3767707;3880059;3879961;4152936;3423474;3683117;3767630;3705215;3740594;3740536;3705190;3426395;3705209;3767587;3772341
CASCARA	3090713;3427437;3081861;3333624;3410951
CASCARA SAGRADA	3090713;3427437;3081861;3333624;3410951
CATIORESINE SULFO SODIQUE	3235086
CEFTRIAXONE	3861493;5641614;3267525;3611299;3774831;3556896;3598133;3605703;3267502;3611282;3574486;3666604;3674414;3674420;3267465;3554839;3605666;3267488;3611307;3556726;3674437;3598038;3628489;3615050;3556755;3574380;3559050;3666610;3556927;3554791;3615038;3462675;3462652;3574405;3674408
CELECOXIB	3543681;3543706
CELIPROLOL	3614145;3897255;3583597;3757347;3739711;3577289;3762549;3583686;3781239;3293505;3712474;3583657;3757666;3876342;3784752;3583611;3583692;3737764;3728742;3583700;3908266;3685346;3723934;3736641;3652447;3738491;3714740;3652424;3731508;3577295
CERTOLIZUMAB	3973200
CERTOLUZUMAB	3973200
CETALKONIUM	3464510;3607576
CHARBON	3295438;3309293;3006055;3041092;3508621;3299548;3272443;3638447;3490387;3273129;3006061;3358601;3350255;3431278;3099157;3431290;3490370;3350249
CHARBON ACTIVE	3295438;3309293;3006055;3041092;3508621;3299548;3272443;3638447;3490387;3273129;3006061;3358601;3350255;3431278;3099157;3431290;3490370;3350249
CHARBON VEGETAL OFFICINAL	3018644
CHLORAMBUCIL	3369906
CHLORDIAZEPOXIDE	3553952
CHLORMADINONE	3664752;3735222;3656014;3695008;3735216;3632798;3652631;3664746;3652654;3394330;3063320;3695014;3656184;3652602;3063314
CHLOROQUINE	3412795;3254445;3073100;3073117
CHLORPHENAMINE	3272621;3197500;3464496;3272615;3773062;3447463;3335988;3464473;3117429;3761053;3565292
CHLORPROMAZINE	3057118;3057124;3272242;3057147
CHLORTALIDONE	3720083;3264544;3748213;3720114
CHOLECALCIFEROL	3569108;3442307;3571861;3515615;4950046;3488083;3702234;4950187;3478050;3820212;3474514;3571849;3566825;3979183;3750641;3547650;3765482;3692518;3387873;3411560;3738841;4950141;3380977;3051914;3875153;3722343;3564594;3724106;3488060;3738835;3556318;3696060;3535836;4950052;5533913;3113213;3828455;3535813;3500507;3738953;4950158;3780872;3442804;4950112;3473377;3719973;3820198;3820181;3335244;3322218;3762874;3723963;3565719;3738829;3396955;3642472;3113207;3813057;3737741;3730288;3601243;4950193;3511445;3615653;3644092;3571855;3584964;3411577;4160344;3780895;3383088;3564588;3720580;3820229;3581405;3481069;3564602
CIBENZOLINE	3294835;3345024;3294829
CICLETANINE	4972651;4949089;4972639;3715231;4972562;3287479;4949103;4972585
CICLOSPORINE	3463002;3463315;3463031;3463077;3463025;3463054;3463019;3463048;3463060
CILAZAPRIL	3352024;3331571;3866415
CIMETIDINE	3397133;3619243;3488255;3397067;3416474;3618002;3594170;3484702;3485860;3407759
CINACALCET	3651620;3651614;3651643;3651554;3651608;3651672;3651577
CINEOLE	3425237;3372624;3038144;3017455;3307727;3340587;3037481;3015812;3231094;3045411;3425243;3015806;3082607;3307733;3299695;3372618;3087852
CIPROFIBRATE	3269688;5641324;3670511;3833568;3674472;3723911;3647794;3797393;3647736;3784290;3605608;3624020;3605583
CIPROFLOXACINE	3682112;3441940;3809334;3674489;3648569;3682230;3612703;3638424;4964717;3809541;3678286;3656729;3365239;3685286;3648440;3678375;4964829;3762288;3672473;3612732;3643081;3642963;3612838;3674495;3612844;3656712;3638430;3642934;3672467;5672690;3643098;3612755;3685292;3762271
CITALOPRAM	2172194;3881716;3846163;3616776;3647713;3899768;3688770;3665088;3605904;3639352;3656066;3667762;3639406;3639464;3674325;3648463;3737534;3667727;4917988;3383361;3465372
CLADRIBINE	3640674
